StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
2017-11-28 00:30:51,2017-11-28 00:33:01,IP Address,174.102.138.182,100,130,True,2017-11-28 00:33:02,R_31LyA6LP71yjnEQ,,,,,43.046005249023,-88.388900756836,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Agree,Undecided,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Undecided,Strongly Disagree,Undecided,Agree,Agree,Undecided,Undecided,Undecided,Agree,Agree,Undecided,,1979,Female,93996617,PopCulture,
2017-11-28 00:31:14,2017-11-28 00:35:16,IP Address,172.77.253.176,100,242,True,2017-11-28 00:35:17,R_vTYDn0SZ4laMUHn,,,,,39.460205078125,-78.449203491211,anonymous,EN,Agree,Strongly Agree,Strongly Disagree,Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Undecided,Undecided,Disagree,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,,,,,,,,,,,,,,,,,,,,,,1994,Female,62761241,Science,
2017-11-28 00:34:25,2017-11-28 00:36:59,IP Address,75.167.155.144,100,154,True,2017-11-28 00:36:59,R_20VdgWWaMRhPByf,,,,,43.612106323242,-116.39149475098,anonymous,EN,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Undecided,Agree,Disagree,Strongly Agree,Undecided,Strongly Agree,Strongly Disagree,,,,,,,,,,,,,,,,,,,,,,1992,Female,98662528,Science,
2017-11-28 00:34:32,2017-11-28 00:39:34,IP Address,18.220.146.182,100,302,True,2017-11-28 00:39:35,R_XADPLeWXdm6fBIZ,,,,,39.965301513672,-83.023498535156,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Undecided,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Undecided,Strongly Agree,Agree,Undecided,Undecided,Undecided,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Agree,Strongly Agree,1981,Female,94495807,PopCulture,
2017-11-28 00:38:25,2017-11-28 00:42:13,IP Address,67.185.98.202,100,227,True,2017-11-28 00:42:14,R_2YVNTUiJTbpxMGx,,,,,47.591506958008,-117.35449981689,anonymous,EN,Agree,Agree,Agree,Agree,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Undecided,Disagree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1979,Male,73737198,Science,
2017-11-28 00:47:57,2017-11-28 00:49:18,IP Address,62.90.181.150,100,81,True,2017-11-28 00:49:19,R_4Sjn8liDTScdSb7,,,,,32.066604614258,34.764999389648,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,1973,Male,75532894,PopCulture,
2017-11-28 00:51:56,2017-11-28 00:53:52,IP Address,173.190.91.2,100,116,True,2017-11-28 00:53:52,R_231f7W6H8p5OZrW,,,,,37.844802856445,-84.671501159668,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1997,Female,56072080,Science,
2017-11-28 00:53:54,2017-11-28 00:56:35,IP Address,85.48.56.7,100,161,True,2017-11-28 00:56:35,R_24FLYsoY2kBUwfS,,,,,40.481994628906,-3.3600006103516,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Undecided,Undecided,Strongly Agree,Undecided,Agree,Agree,Disagree,Undecided,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Undecided,Agree,Agree,Agree,Strongly Agree,,1981,Male,49690603,PopCulture,
2017-11-28 01:14:44,2017-11-28 01:17:38,IP Address,108.250.206.38,100,174,True,2017-11-28 01:17:38,R_1S33470z22asiU9,,,,,29.825607299805,-90.121101379395,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Undecided,Undecided,Strongly Disagree,Undecided,Undecided,Undecided,Undecided,Strongly Disagree,Strongly Agree,Undecided,Strongly Disagree,Disagree,Agree,Strongly Disagree,Undecided,Undecided,Strongly Disagree,Undecided,,1962,Male,74433369,PopCulture,
2017-11-28 01:15:46,2017-11-28 01:19:43,IP Address,174.22.236.251,100,237,True,2017-11-28 01:19:44,R_2q3o9vs0uQ3rPsl,,,,,33.507995605469,-112.12539672852,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1989,Male,21661415,Science,
2017-11-28 01:31:53,2017-11-28 01:33:26,IP Address,173.244.36.51,100,93,True,2017-11-28 01:33:26,R_277QcAWcTYaFs01,,,,,33.448394775391,-112.07399749756,anonymous,EN,Undecided,Agree,Agree,Undecided,Undecided,Undecided,Undecided,Disagree,Undecided,Agree,Undecided,Disagree,Disagree,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Undecided,,,,,,,,,,,,,,,,,,,,,,1984,Male,92063233,Science,
2017-11-28 01:33:26,2017-11-28 01:35:10,IP Address,45.48.163.35,100,103,True,2017-11-28 01:35:10,R_1kOpalD2wWFHOFh,,,,,34.12809753418,-118.28929901123,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Undecided,Undecided,Agree,Undecided,Agree,Strongly Agree,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Agree,Undecided,Undecided,Undecided,Strongly Disagree,Undecided,,1981,Male,87661368,PopCulture,
2017-11-28 01:37:22,2017-11-28 01:41:21,IP Address,76.183.31.194,100,239,True,2017-11-28 01:41:22,R_1JEnWcO6pGfqYsW,,,,,32.71549987793,-96.768402099609,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Disagree,Undecided,Undecided,Undecided,Disagree,Undecided,Disagree,Undecided,Undecided,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,,1975,Female,46114443,PopCulture,
2017-11-28 01:49:39,2017-11-28 01:51:58,IP Address,71.8.86.183,100,139,True,2017-11-28 01:51:59,R_3n9oJZ8NjDO0135,,,,,33.315093994141,-86.755996704102,anonymous,EN,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1968,Male,68967223,Science,
2017-11-28 02:09:38,2017-11-28 02:11:06,IP Address,24.116.233.208,100,87,True,2017-11-28 02:11:07,R_2PnkTRye5shrwAY,,,,,43.4375,-116.32319641113,anonymous,EN,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Undecided,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Undecided,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1990,Female,66513226,Science,
2017-11-28 02:13:13,2017-11-28 02:16:14,IP Address,207.119.70.4,100,181,True,2017-11-28 02:16:14,R_1QFqCeTTK0bx4Y3,,,,,34.82600402832,-89.679496765137,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Undecided,Agree,Strongly Agree,Agree,Undecided,Undecided,Agree,Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Agree,Disagree,,1997,Female,64290020,PopCulture,
2017-11-28 02:39:35,2017-11-28 02:41:13,IP Address,138.128.246.205,100,97,True,2017-11-28 02:41:13,R_2dnBWyWw2ioaJKc,,,,,40.739105224609,-73.982597351074,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,1988,Male,58160369,PopCulture,
2017-11-28 02:38:33,2017-11-28 02:41:37,IP Address,24.192.91.104,100,184,True,2017-11-28 02:41:38,R_2qD8jisM8GlBUx1,,,,,39.964904785156,-83.138298034668,anonymous,EN,Undecided,Disagree,Disagree,Disagree,Undecided,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Undecided,Agree,Strongly Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1990,Female,21731669,Science,
2017-11-28 02:49:05,2017-11-28 02:49:53,Survey Preview,,100,48,True,2017-11-28 02:49:53,R_3gXVE8UaRqv4fLf,,,,,47.634399414062,-122.34220123291,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,99389285,Science,
2017-11-28 02:53:00,2017-11-28 02:54:52,IP Address,70.187.80.244,100,111,True,2017-11-28 02:54:53,R_2Vl4k0u315hn2r8,,,,,29.638107299805,-82.414100646973,anonymous,EN,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Undecided,Agree,Undecided,Undecided,Disagree,Agree,Agree,Disagree,Undecided,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,Agree,1993,Male,97168008,Science,
2017-11-28 02:55:24,2017-11-28 02:59:56,IP Address,174.196.128.254,100,271,True,2017-11-28 02:59:56,R_3G87cxzPuP8shIE,,,,,35.850402832031,-83.412498474121,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Strongly Agree,Undecided,Strongly Agree,Undecided,Agree,Strongly Agree,Undecided,Agree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,,1973,Male,75298969,PopCulture,
2017-11-28 03:03:39,2017-11-28 03:05:38,IP Address,74.209.55.183,100,118,True,2017-11-28 03:05:38,R_10ZTl3xuxWfecly,,,,,46.87190246582,-122.57369995117,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Disagree,Undecided,Undecided,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,,1999,Female,36214884,PopCulture,
2017-11-28 03:26:01,2017-11-28 03:28:55,IP Address,99.168.104.148,100,174,True,2017-11-28 03:28:56,R_CmpGg9pV1I7MZ0Z,,,,,33.176895141602,-96.698501586914,anonymous,EN,Undecided,Disagree,Agree,Agree,Agree,Disagree,Agree,Undecided,Disagree,Agree,Disagree,Agree,Disagree,Agree,Undecided,Agree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1972,Female,71485580,Science,
2017-11-28 03:29:47,2017-11-28 03:31:26,IP Address,165.225.38.63,100,98,True,2017-11-28 03:31:26,R_vibSC5NWAoKwAF3,,,,,40.730804443359,-73.997497558594,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Undecided,Agree,Agree,Strongly Disagree,Undecided,Disagree,Undecided,Agree,Undecided,Agree,Undecided,Agree,Strongly Agree,,1977,Male,18044360,PopCulture,
2017-11-27 23:33:48,2017-11-27 23:38:26,IP Address,45.52.4.130,93,277,False,2017-11-28 03:38:38,R_tDqVt6y1fGEiIMx,,,,,,,anonymous,EN,Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Undecided,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,38503623,Science,
2017-11-27 23:41:28,2017-11-27 23:43:08,IP Address,157.50.21.102,95,100,False,2017-11-28 03:43:08,R_1ISH7Fm8h957pp4,,,,,,,anonymous,EN,Disagree,Agree,Disagree,Undecided,Strongly Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Strongly Agree,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Agree,,,,,,,,,,,,,,,,,,,,,Agree,,,86418054,Science,
2017-11-28 03:46:52,2017-11-28 03:49:21,IP Address,75.67.109.133,100,149,True,2017-11-28 03:49:22,R_2s5vy0Zf0E2Qykl,,,,,42.979705810547,-70.82869720459,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Strongly Agree,Undecided,Undecided,Agree,Strongly Agree,Undecided,Undecided,Disagree,Agree,Strongly Disagree,Undecided,Undecided,Undecided,Undecided,Undecided,Agree,Disagree,,1980,Female,79111415,PopCulture,
2017-11-27 23:46:19,2017-11-27 23:50:43,IP Address,70.172.194.9,77,264,False,2017-11-28 03:51:05,R_2xMdBihkt2NvEHx,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly Agree,Undecided,Undecided,,Agree,Disagree,Disagree,Agree,Agree,,Undecided,,Agree,Undecided,,Disagree,,,,,99119102,PopCulture,
2017-11-28 03:42:51,2017-11-28 03:51:21,IP Address,75.74.9.127,100,509,True,2017-11-28 03:51:21,R_2h5dExrYVl4AihX,,,,,26.182907104492,-80.22380065918,anonymous,EN,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1950,Female,60507491,Science,
2017-11-28 03:52:15,2017-11-28 03:58:20,IP Address,75.26.241.14,100,365,True,2017-11-28 03:58:21,R_2pRBJZRjcpXBded,,,,,42.373794555664,-87.944000244141,anonymous,EN,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Undecided,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Undecided,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1991,Female,44720551,Science,
2017-11-28 04:08:38,2017-11-28 04:10:41,IP Address,172.58.201.208,100,123,True,2017-11-28 04:10:42,R_3DwGw2MXVvzEUie,,,,,39.954299926758,-75.165702819824,anonymous,EN,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Strongly Agree,Agree,Strongly Agree,Undecided,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1991,Female,96630339,Science,
2017-11-28 04:20:14,2017-11-28 04:23:46,IP Address,162.213.228.51,100,211,True,2017-11-28 04:23:47,R_1F9OJWh3SqGovbX,,,,,38.946701049805,-83.644500732422,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Disagree,Strongly Agree,Strongly Disagree,Undecided,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Disagree,Disagree,Disagree,Undecided,Disagree,Undecided,Strongly Disagree,Undecided,,1982,Female,35622698,PopCulture,
2017-11-28 04:21:28,2017-11-28 04:24:04,IP Address,99.28.98.42,100,155,True,2017-11-28 04:24:05,R_31o8eY0wY4d8Hrm,,,,,36.017303466797,-95.935699462891,anonymous,EN,Agree,Agree,Agree,Agree,Undecided,Agree,Undecided,Agree,Undecided,Agree,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Undecided,Agree,Undecided,Disagree,,,,,,,,,,,,,,,,,,,,,,1984,Female,78357525,Science,
2017-11-28 04:24:21,2017-11-28 04:27:47,IP Address,141.126.203.27,100,205,True,2017-11-28 04:27:48,R_3smt4K0FWkoKiTx,,,,,42.124404907227,-71.665298461914,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly Disagree,Agree,Undecided,Agree,Undecided,Agree,Undecided,Undecided,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,,1962,Female,67435924,PopCulture,
2017-11-28 04:24:10,2017-11-28 04:27:53,IP Address,174.45.240.207,100,222,True,2017-11-28 04:27:54,R_u9rMNFjnIrmuE0N,,,,,45.766098022461,-108.57890319824,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Undecided,Undecided,Undecided,Undecided,Disagree,Undecided,Strongly Agree,Disagree,Strongly Disagree,Agree,Undecided,Agree,,1962,Female,13054770,PopCulture,
2017-11-28 04:29:19,2017-11-28 04:30:52,IP Address,75.133.93.64,100,93,True,2017-11-28 04:30:54,R_1LO9qb3GlOAXfn5,,,,,44.341506958008,-84.187599182129,anonymous,EN,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Undecided,Agree,Disagree,Agree,Disagree,Agree,Undecided,Agree,Disagree,Agree,Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1986,Female,32168511,Science,
2017-11-28 04:30:29,2017-11-28 04:32:12,IP Address,70.110.16.164,100,102,True,2017-11-28 04:32:12,R_1CqeNJfwQhKUUGm,,,,,38.43359375,-77.388702392578,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Undecided,Disagree,Undecided,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,,1994,Male,68040837,PopCulture,
2017-11-28 04:29:44,2017-11-28 04:33:24,IP Address,97.89.168.155,100,220,True,2017-11-28 04:33:25,R_1F9roCvx5TuOXxg,,,,,34.641693115234,-82.544502258301,anonymous,EN,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1974,Male,48255476,Science,
2017-11-28 04:31:31,2017-11-28 04:39:21,IP Address,174.101.154.38,100,469,True,2017-11-28 04:39:21,R_1LBvXib3RPbPymN,,,,,39.136505126953,-84.432502746582,anonymous,EN,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Undecided,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1976,Female,56870457,Science,
2017-11-28 04:43:40,2017-11-28 04:45:51,IP Address,107.213.216.165,100,131,True,2017-11-28 04:45:52,R_27d8qRtXhDFOAok,,,,,25.658599853516,-80.356796264648,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Agree,Undecided,Agree,1951,Female,86144429,PopCulture,
2017-11-28 04:46:17,2017-11-28 04:48:52,IP Address,66.31.190.173,100,154,True,2017-11-28 04:48:52,R_2aVaeX1Ia86f2G2,,,,,41.671295166016,-70.191596984863,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,1970,Female,52728568,PopCulture,
2017-11-28 04:47:41,2017-11-28 04:49:36,IP Address,107.209.105.137,100,114,True,2017-11-28 04:49:37,R_2xDaRVOknAujCvt,,,,,32.583801269531,-97.414199829102,anonymous,EN,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Undecided,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1978,Male,28214014,Science,
2017-11-28 00:48:46,2017-11-28 00:50:22,IP Address,71.222.117.83,64,95,False,2017-11-28 04:50:46,R_Q4fbt2ya6vzcjrr,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,Disagree,,,,Undecided,Undecided,,,,,Agree,,,Agree,,Undecided,,,Agree,,,,17543103,PopCulture,
2017-11-28 04:49:38,2017-11-28 04:52:30,IP Address,24.42.212.63,100,171,True,2017-11-28 04:52:31,R_2S7UfpWEdTjSI99,,,,,34.713500976562,-86.74210357666,anonymous,EN,Agree,Agree,Agree,Agree,Undecided,Agree,Disagree,Agree,Undecided,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Undecided,Undecided,Disagree,Undecided,Agree,,,,,,,,,,,,,,,,,,,,,,1981,Female,17756158,Science,
2017-11-28 05:00:00,2017-11-28 05:01:56,IP Address,207.244.71.174,100,116,True,2017-11-28 05:01:57,R_2QG7LboDhzVLQsX,,,,,38.770095825195,-77.632102966309,anonymous,EN,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Undecided,Disagree,Agree,Undecided,Disagree,Undecided,Disagree,,,,,,,,,,,,,,,,,,,,,,1972,Female,41202574,Science,
2017-11-28 04:59:11,2017-11-28 05:02:31,IP Address,66.31.60.163,100,200,True,2017-11-28 05:02:32,R_1KfJ6uphx4BaazU,,,,,42.399703979492,-71.031600952148,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Disagree,Undecided,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Undecided,,1963,Female,50582079,PopCulture,
2017-11-28 05:12:22,2017-11-28 05:14:45,IP Address,97.106.139.198,100,143,True,2017-11-28 05:14:46,R_UKpdZIwYqdoqu1r,,,,,28.028793334961,-82.768898010254,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Disagree,Disagree,Undecided,Undecided,Disagree,Agree,Agree,Undecided,Agree,Agree,Disagree,Undecided,Agree,Undecided,Disagree,Disagree,Agree,Undecided,,1982,Female,76239720,PopCulture,
2017-11-28 01:10:40,2017-11-28 01:15:49,IP Address,69.207.52.187,93,309,False,2017-11-28 05:16:16,R_3nGIggTtQuNtrFi,,,,,,,anonymous,EN,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Agree,Agree,Disagree,Undecided,Undecided,Disagree,Disagree,Disagree,Undecided,Agree,Strongly Disagree,Agree,Undecided,Agree,,,,,,,,,,,,,,,,,,,,,,,,58953161,Science,
2017-11-28 05:35:05,2017-11-28 05:38:09,IP Address,73.173.169.200,100,183,True,2017-11-28 05:38:09,R_1C9gnvtPBlNrToT,,,,,39.33740234375,-76.536796569824,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Strongly Disagree,Undecided,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Undecided,Agree,,1976,Male,44385764,PopCulture,
2017-11-28 05:44:23,2017-11-28 05:46:10,IP Address,73.7.100.97,100,106,True,2017-11-28 05:46:10,R_z6GD057ggUNf8rv,,,,,33.918792724609,-84.067802429199,anonymous,EN,Agree,Strongly Agree,Agree,Undecided,Undecided,Strongly Agree,Strongly Disagree,Undecided,Strongly Disagree,Strongly Agree,Undecided,Undecided,Agree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Undecided,Strongly Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,1973,Male,70838092,Science,
2017-11-28 06:00:50,2017-11-28 06:04:14,IP Address,97.73.28.53,100,204,True,2017-11-28 06:04:14,R_3qx6crjLvEguZcv,,,,,39.739196777344,-104.98470306396,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Undecided,Undecided,Strongly Disagree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Undecided,Strongly Agree,Undecided,Undecided,Strongly Agree,Strongly Disagree,Undecided,,1975,Female,43836198,PopCulture,
2017-11-28 06:10:23,2017-11-28 06:12:00,IP Address,204.94.39.143,100,96,True,2017-11-28 06:12:00,R_2PB6sF0R3YQN4vw,,,,,40.466094970703,-88.903396606445,anonymous,EN,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1970,Male,70661733,Science,
2017-11-28 06:20:44,2017-11-28 06:22:31,IP Address,104.136.205.45,100,106,True,2017-11-28 06:22:31,R_1r8H8Cpjwq4P3ng,,,,,27.900299072266,-82.302398681641,anonymous,EN,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Undecided,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1980,Female,37555426,Science,
2017-11-28 06:26:19,2017-11-28 06:27:57,IP Address,108.245.152.51,100,98,True,2017-11-28 06:27:58,R_2Bm31jl6SMPt1k2,,,,,37.790496826172,-85.484802246094,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Disagree,Strongly Agree,Agree,Undecided,Undecided,Agree,Agree,Undecided,Undecided,Agree,Agree,Undecided,Strongly Agree,Undecided,Agree,Undecided,Disagree,Agree,,1994,Female,39217471,PopCulture,
2017-11-28 06:32:35,2017-11-28 06:36:34,IP Address,74.178.188.216,100,238,True,2017-11-28 06:36:35,R_30e0UW6Vk0htc2x,,,,,30.457794189453,-87.258201599121,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Disagree,Agree,Strongly Disagree,Undecided,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Undecided,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,,1969,Male,93956335,PopCulture,
2017-11-28 06:41:26,2017-11-28 06:43:07,IP Address,74.101.222.82,100,100,True,2017-11-28 06:43:08,R_Xnt3gYUyEmjj5Tz,,,,,40.842407226562,-73.855598449707,anonymous,EN,Disagree,Agree,Undecided,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Undecided,Undecided,Agree,Undecided,Disagree,,,,,,,,,,,,,,,,,,,,,,1992,Male,82934467,Science,
2017-11-28 02:40:24,2017-11-28 02:42:47,IP Address,72.196.101.124,64,142,False,2017-11-28 06:43:22,R_1jOMK8N0XhiN567,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,,,,,,,,Undecided,Undecided,,Undecided,,,,Undecided,,Undecided,,Agree,,,,93608622,PopCulture,
